29,4,61,12,14,19,20,61,28,8,17,2,20,11,0,17,8,61,31,11
20,8,3,14,17,20,12,33,24,15,14,19,7,4,18,8,18,43,4,18
8,18,19,4,13,19,8,0,12,61,16,20,61,14,17,8,19,20,17,61
4,23,61,3,4,5,4,2,19,20,61,11,20,1,17,8,2,8,19,0
19,8,18,61,15,0,17,19,8,20,12,61,31,11,20,8,3,8,61,2
19,4,17,8,18,61,15,0,17,8,1,20,18,61,15,17,14,15,14,17
19,8,14,13,0,11,4,12,61,4,18,18,4,61,21,4,11,14,2,8
19,0,19,8,61,16,20,0,61,15,0,17,19,4,18,61,31,11,20,8
3,8,61,18,4,15,0,17,0,13,19,20,17,61,0,1,61,8,13,21
8,2,4,12,41,17,14,15,61,37,34,61,45,7,4,14,17,61,48,48
48,34,34,34,44,8,61,28,24,11,8,13,3,17,20,18,61,18,14,11
8,3,20,18,61,8,13,5,8,13,8,19,61,11,14,13,6,20,18,61
8,13,61,5,11,20,8,3,14,61,20,13,8,5,14,17,12,8,61,61
8,13,5,8,13,8,19,14,61,2,8,17,2,0,61,0,23,4,12,61
15,14,18,8,19,8,14,13,4,61,3,0,19,20,12,61,20,13,8,5
14,17,12,8,61,2,20,12,61,12,14,19,20,61,17,4,21,14,11,21
0,19,20,17,61,61,0,1,61,7,20,9,20,18,61,8,12,15,20,11
18,20,61,18,14,11,14,61,0,6,0,19,20,17,61,31,11,20,8,3
20,12,61,8,13,61,40,17,1,4,12,61,15,4,17,18,4,21,4,17
4,19,61,0,20,19,4,12,61,5,11,20,8,3,8,61,15,0,17,18
61,20,13,0,16,20,16,20,4,61,20,13,8,5,14,17,12,8,19,4
17,61,8,13,61,12,14,19,20,61,18,20,14,61,3,8,2,14,61,16
20,14,3,61,19,4,12,15,14,17,0,61,15,4,17,8,14,3,8,2
0,61,15,0,17,19,8,20,12,61,5,11,20,8,3,8,61,18,20,13
19,61,20,19,61,8,15,18,0,17,20,12,61,3,8,18,19,0,13,19
8,61,0,1,61,0,23,4,61,2,24,11,8,13,3,17,8,44,8,19
61,26,31,37,61,2,24,11,8,13,3,17,20,18,61,20,13,8,5,14
17,12,8,19,4,17,61,2,8,17,2,0,61,0,23,4,12,61,44,61
8,13,61,14,17,1,4,12,61,0,2,19,20,18,61,61,2,8,17,2
20,11,8,18,61,2,14,13,2,4,13,19,17,8,2,8,18,61,27,32
38,61,28,33,39,61,29,34,40,61,30,36,41,61,2,61,3,8,18,19
8,13,6,20,0,19,20,17,61,5,11,20,8,3,20,12,61,8,13,61
